Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.05,0.9524,1.0,1.0,0.9524,1.05,0.0,0.0
1.1025,0.907,2.05,0.4878,1.8594,0.5378,0.4878,0.907
1.1576,0.8638,3.1525,0.3172,2.7232,0.3672,0.9675,2.6347
1.2155,0.8227,4.3101,0.232,3.546,0.282,1.4391,5.1028
1.2763,0.7835,5.5256,0.181,4.3295,0.231,1.9025,8.2369
1.3401,0.7462,6.8019,0.147,5.0757,0.197,2.3579,11.968
1.4071,0.7107,8.142,0.1228,5.7864,0.1728,2.8052,16.2321
1.4775,0.6768,9.5491,0.1047,6.4632,0.1547,3.2445,20.97
1.5513,0.6446,11.0266,0.0907,7.1078,0.1407,3.6758,26.1268
1.6289,0.6139,12.5779,0.0795,7.7217,0.1295,4.0991,31.652
1.7103,0.5847,14.2068,0.0704,8.3064,0.1204,4.5144,37.4988
1.7959,0.5568,15.9171,0.0628,8.8633,0.1128,4.9219,43.6241
1.8856,0.5303,17.713,0.0565,9.3936,0.1065,5.3215,49.9879
1.9799,0.5051,19.5986,0.051,9.8986,0.101,5.7133,56.5538
2.0789,0.481,21.5786,0.0463,10.3797,0.0963,6.0973,63.288
2.1829,0.4581,23.6575,0.0423,10.8378,0.0923,6.4736,70.1597
2.292,0.4363,25.8404,0.0387,11.2741,0.0887,6.8423,77.1405
2.4066,0.4155,28.1324,0.0355,11.6896,0.0855,7.2034,84.2043
2.527,0.3957,30.539,0.0327,12.0853,0.0827,7.5569,91.3275
2.6533,0.3769,33.066,0.0302,12.4622,0.0802,7.903,98.4884
2.786,0.3589,35.7193,0.028,12.8212,0.078,8.2416,105.6673
2.9253,0.3418,38.5052,0.026,13.163,0.076,8.573,112.8461
3.0715,0.3256,41.4305,0.0241,13.4886,0.0741,8.8971,120.0087
3.2251,0.3101,44.502,0.0225,13.7986,0.0725,9.214,127.1402
3.3864,0.2953,47.7271,0.021,14.0939,0.071,9.5238,134.2275
3.5557,0.2812,51.1135,0.0196,14.3752,0.0696,9.8266,141.2585
3.7335,0.2678,54.6691,0.0183,14.643,0.0683,10.1224,148.2226
3.9201,0.2551,58.4026,0.0171,14.8981,0.0671,10.4114,155.1101
4.1161,0.2429,62.3227,0.016,15.1411,0.066,10.6936,161.9126
4.3219,0.2314,66.4388,0.0151,15.3725,0.0651,10.9691,168.6226
4.538,0.2204,70.7608,0.0141,15.5928,0.0641,11.2381,175.2333
4.7649,0.2099,75.2988,0.0133,15.8027,0.0633,11.5005,181.7392
5.0032,0.1999,80.0638,0.0125,16.0025,0.0625,11.7566,188.1351
5.2533,0.1904,85.067,0.0118,16.1929,0.0618,12.0063,194.4168
5.516,0.1813,90.3203,0.0111,16.3742,0.0611,12.2498,200.5807
7.04,0.142,120.7998,0.0083,17.1591,0.0583,13.3775,229.5452
8.985,0.1113,159.7002,0.0063,17.7741,0.0563,14.3644,255.3145
11.4674,0.0872,209.348,0.0048,18.2559,0.0548,15.2233,277.9148
14.6356,0.0683,272.7126,0.0037,18.6335,0.0537,15.9664,297.5104
18.6792,0.0535,353.5837,0.0028,18.9293,0.0528,16.6062,314.3432
23.8399,0.0419,456.798,0.0022,19.1611,0.0522,17.1541,328.691
30.4264,0.0329,588.5285,0.0017,19.3427,0.0517,17.6212,340.8409
38.8327,0.0258,756.6537,0.0013,19.485,0.0513,18.0176,351.0721
49.5614,0.0202,971.2288,0.001,19.5965,0.051,18.3526,359.646
63.2544,0.0158,1245.0871,0.0008,19.6838,0.0508,18.6346,366.8007
80.7304,0.0124,1594.6073,0.0006,19.7523,0.0506,18.8712,372.7488
103.0347,0.0097,2040.6935,0.0005,19.8059,0.0505,19.0689,377.6774
131.5013,0.0076,2610.0252,0.0004,19.8479,0.0504,19.2337,381.7492
